Tarih,Close,Open,High,Low
04.12.2012,1.7841,1.7869,1.79,1.782
05.12.2012,1.7865,1.7841,1.7913,1.781
06.12.2012,1.7889,1.7851,1.7923,1.7846
07.12.2012,1.7884,1.7897,1.795,1.7878
10.12.2012,1.7892,1.789,1.7928,1.7848
11.12.2012,1.7826,1.7898,1.7923,1.781
12.12.2012,1.7772,1.7813,1.7847,1.7737
13.12.2012,1.7813,1.7758,1.7839,1.7726
14.12.2012,1.779,1.78,1.785,1.7767
17.12.2012,1.7839,1.7788,1.788,1.7765
18.12.2012,1.7789,1.7839,1.788,1.778
19.12.2012,1.7837,1.7791,1.7847,1.7752
20.12.2012,1.7861,1.7837,1.79,1.781
21.12.2012,1.7975,1.7851,1.7986,1.7851
24.12.2012,1.7971,1.7979,1.803,1.792
25.12.2012,1.794,1.7971,1.801,1.792
26.12.2012,1.794,1.794,1.798,1.7895
27.12.2012,1.7888,1.7949,1.797,1.787
28.12.2012,1.7894,1.7888,1.795,1.784
31.12.2012,1.7837,1.7919,1.7928,1.781
01.01.2013,1.7838,1.7837,1.787,1.7836
02.01.2013,1.7787,1.7838,1.7854,1.775
03.01.2013,1.7847,1.7787,1.7862,1.7756
04.01.2013,1.7818,1.7851,1.7926,1.7818
07.01.2013,1.7798,1.7826,1.7881,1.777
08.01.2013,1.7783,1.7798,1.784,1.7715
09.01.2013,1.7753,1.7802,1.783,1.773
10.01.2013,1.7672,1.7753,1.7794,1.767
11.01.2013,1.7695,1.7662,1.776,1.765
14.01.2013,1.7688,1.7708,1.775,1.766
15.01.2013,1.7691,1.7689,1.7748,1.7658
16.01.2013,1.7653,1.7699,1.775,1.7635
17.01.2013,1.7524,1.7653,1.7685,1.7518
18.01.2013,1.7603,1.7524,1.765,1.752
21.01.2013,1.7643,1.7633,1.768,1.757
22.01.2013,1.769,1.7643,1.776,1.758
23.01.2013,1.7716,1.769,1.7765,1.7665
24.01.2013,1.7686,1.7716,1.776,1.767
25.01.2013,1.7675,1.7686,1.7735,1.762
28.01.2013,1.773,1.7652,1.7747,1.7627
29.01.2013,1.7685,1.7743,1.777,1.767
30.01.2013,1.7678,1.7685,1.775,1.763
31.01.2013,1.7589,1.7678,1.772,1.7555
01.02.2013,1.7473,1.7589,1.7607,1.746
04.02.2013,1.7613,1.7488,1.766,1.744
05.02.2013,1.7612,1.7613,1.767,1.755
06.02.2013,1.7695,1.7597,1.77,1.7587
07.02.2013,1.774,1.7687,1.776,1.763
08.02.2013,1.7715,1.775,1.777,1.7665
11.02.2013,1.7755,1.771,1.779,1.767
12.02.2013,1.7724,1.7755,1.779,1.7695
13.02.2013,1.7635,1.7724,1.774,1.761
14.02.2013,1.7683,1.762,1.7735,1.762
15.02.2013,1.7665,1.7675,1.773,1.764
18.02.2013,1.7672,1.7664,1.7709,1.7618
19.02.2013,1.7765,1.7668,1.782,1.764
20.02.2013,1.7833,1.7768,1.7864,1.771
21.02.2013,1.7942,1.7843,1.798,1.7825
22.02.2013,1.8019,1.7932,1.805,1.7854
25.02.2013,1.8094,1.8005,1.8099,1.7904
26.02.2013,1.8054,1.8091,1.8166,1.803
27.02.2013,1.7977,1.8054,1.811,1.7977
28.02.2013,1.7985,1.7963,1.8016,1.7926
01.03.2013,1.7974,1.7985,1.8077,1.7941
04.03.2013,1.7989,1.799,1.8066,1.7966
05.03.2013,1.7916,1.7994,1.7996,1.7907
06.03.2013,1.7984,1.7918,1.7992,1.7877
07.03.2013,1.7973,1.7983,1.8017,1.7927
08.03.2013,1.8045,1.7973,1.8087,1.7896
11.03.2013,1.799,1.8078,1.8102,1.7989
